epoch,train_loss,train_acc,test_loss,test_acc
1,2.1909589651107786,0.2158,2.8223082252502443,0.2628
2,2.037168695449829,0.285,2.3410675888061525,0.2638
3,1.8738456274032593,0.3276,1.809290919494629,0.3631
4,1.7246192771911621,0.3758,1.896323995399475,0.3539
5,1.694862593460083,0.3864,1.6619227111816406,0.4109
6,1.6418591384887695,0.406,2.502315217971802,0.3691
7,1.6339927806854249,0.4046,1.5468171390533447,0.447
8,1.5080754611968994,0.4378,1.696835646057129,0.423
9,1.520755149078369,0.4474,1.5580322523117065,0.4574
10,1.481798996925354,0.4536,1.4841223453521728,0.4822
11,1.4308044757843017,0.4828,1.7605065782546998,0.4549
12,1.4256072013854981,0.483,1.5324272010803224,0.467
13,1.412272234916687,0.4842,1.5156832069396973,0.4695
14,1.433542834854126,0.4874,1.4339749822616576,0.4919
15,1.3388870513916016,0.5124,1.3928727991104126,0.5144
16,1.2924207508087158,0.541,1.4615031163215637,0.4838
17,1.2460287240982055,0.5576,1.5190507674217224,0.4888
18,1.2429626987457276,0.57,1.6461965589523315,0.462
19,1.1995536982536317,0.5614,1.4769383312225342,0.5005
20,1.1931951026916503,0.566,1.4515102224349976,0.5118
