epoch,train_loss,train_acc,test_loss,test_acc
1,1.849551911277771,0.33144,1.5832589435577393,0.4396
2,1.5272441236114502,0.44488,1.4290075998306275,0.4867
3,1.3948880869674682,0.498,1.2967388124465942,0.5367
4,1.290745489692688,0.53576,1.234993393611908,0.5525
5,1.198482649345398,0.57104,1.2156652923583984,0.5886
6,1.1106949018859864,0.60272,1.047015291118622,0.6278
7,1.0433459152984619,0.62696,1.0010238681793213,0.6498
8,0.9982324681472778,0.645,0.9938565643310547,0.6599
9,0.9492184281539917,0.66312,1.0134137365341187,0.6599
10,0.9129835032272339,0.67716,0.9501193016052246,0.6766
11,0.8750619630813599,0.68968,0.9077751814842224,0.6858
12,0.8415414441299438,0.7004,0.9635426721572876,0.6725
13,0.8171193112373352,0.70992,0.8674154408454895,0.7085
14,0.7894555221748352,0.7204,0.851091525554657,0.7098
15,0.7699975312614441,0.72796,0.8708757047653198,0.7007
16,0.7450152381896973,0.7346,0.8843079515457153,0.7026
17,0.7234207816696167,0.74052,0.8394231837272644,0.7138
18,0.7000430379867554,0.75276,0.7927381000518798,0.731
19,0.6814915243911743,0.75716,0.8031236102104187,0.7268
20,0.6670068552017212,0.76216,0.8292138388156891,0.7241
