epoch,train_loss,train_acc,test_loss,test_acc
1,2.0692587047576905,0.259,1.9081363573074341,0.3191
2,1.7457703456878662,0.3618,1.836566021633148,0.3735
3,1.617890828704834,0.407,1.63045621509552,0.4206
4,1.5455134504318238,0.4394,1.5284997371673583,0.4567
5,1.493838564491272,0.464,1.5101269994735718,0.4696
6,1.3946866664886475,0.4944,1.4514155424118043,0.4858
7,1.3717555495262146,0.4954,1.3623182216644287,0.5139
8,1.3202156847000122,0.5217,1.475092338657379,0.5118
9,1.277977968978882,0.5406,1.2783514217376708,0.5423
10,1.2206390731811523,0.5502,1.239055142402649,0.5661
11,1.1731983303070068,0.5774,1.2634309857368469,0.5474
12,1.1644512830734253,0.5812,1.220937630367279,0.5777
13,1.117719573688507,0.5985,1.253635997581482,0.582
14,1.0789507012367248,0.6161,1.2130959714889527,0.5907
15,1.0378411849021911,0.6323,1.2309648315429687,0.5844
16,1.008463482952118,0.6397,1.1785711803436278,0.603
17,0.9692430729866028,0.6527,1.1579368571281432,0.6043
18,0.9500393262863159,0.6648,1.1778268823623657,0.6109
19,0.9061509111404419,0.6766,1.1155369217395783,0.627
20,0.8939182138442994,0.6861,1.1298836760520936,0.6207
