epoch,train_loss,train_acc,test_loss,test_acc
1,1.695791449356079,0.38714,1.3806240297317505,0.4969
2,1.3543452367782594,0.5135,1.1533297130584717,0.5855
3,1.1685260663604737,0.5822,1.0635037866592407,0.6349
4,1.0539089888763429,0.62546,0.9856328609466553,0.6605
5,0.9659729993057251,0.65914,0.9023736903190612,0.6853
6,0.900036052570343,0.68252,0.8854177248954773,0.6946
7,0.8565286732673645,0.69728,0.8125845149993897,0.7178
8,0.8154848598098755,0.71388,0.8140556890487671,0.7147
9,0.7809246904945374,0.72394,0.8066595572471619,0.7185
10,0.7454229826164246,0.73672,0.7722748736381531,0.7346
11,0.7170241343307495,0.74734,0.7524654386520385,0.7456
12,0.693483659439087,0.75478,0.7167096097946167,0.7564
13,0.6687367702865601,0.7646,0.7002535473823548,0.7613
14,0.6450578267860413,0.7713,0.6697996232986451,0.7691
15,0.6211607314491272,0.7812,0.7072237517356873,0.7568
16,0.6118841667366027,0.78412,0.6920935301780701,0.7616
17,0.5884122017288208,0.79346,0.6341114491939545,0.7858
18,0.570976119556427,0.79946,0.6796515031814575,0.7652
19,0.5669180274963379,0.80102,0.6244831874847412,0.7823
20,0.539907179813385,0.80956,0.6347722234725952,0.7865
