epoch,train_loss,train_acc,test_loss,test_acc
1,0.35712827512025835,0.87796,0.25824931960105896,0.9118
2,0.21900204332590104,0.92448,0.2400605269432068,0.9168
3,0.1825540861082077,0.93628,0.2219308223247528,0.9242
4,0.16315622504234314,0.94276,0.22249174466133118,0.9233
5,0.15224232127070428,0.94714,0.25369527106285095,0.9157
6,0.13660150101304055,0.9526,0.21500149190425874,0.9291
7,0.13231712507657706,0.95368,0.218470094704628,0.9304
8,0.12244973674535752,0.9584,0.2661510283470154,0.9148
9,0.11761071668624878,0.95972,0.21162948721647262,0.9322
10,0.10503316389739513,0.96378,0.2551328320503235,0.9195
11,0.10294473557949066,0.965,0.20761530946493148,0.9308
12,0.09853728375881911,0.96498,0.2089387212753296,0.9312
13,0.09350599612653256,0.96716,0.24677085399627685,0.9268
14,0.0870674987912178,0.9691,0.22809512832164763,0.9317
15,0.08567283780187368,0.9705,0.2379530833005905,0.9299
16,0.08529844246864318,0.97042,0.2536401653051376,0.9219
17,0.07542053545229137,0.9741,0.2529317626237869,0.9247
18,0.07794961141608656,0.97258,0.2804874582052231,0.9162
19,0.07573462231040001,0.97352,0.25970407428741454,0.9249
20,0.07126778273135424,0.9757,0.2065425771355629,0.9396
