epoch,train_loss,train_acc,test_loss,test_acc
1,0.517249353981018,0.8229,0.34803183376789093,0.877
2,0.2568236576080322,0.9135,0.32680854279994964,0.8905
3,0.21844488034248352,0.9238,0.3398045721054077,0.8857
4,0.16275299623012543,0.9439,0.45956645793914797,0.855
5,0.15188780868053436,0.9476,0.30069764430522916,0.9075
6,0.14580602144747973,0.9501,0.2747693824291229,0.9131
7,0.11001141782402993,0.9636,0.3049883772373199,0.9074
8,0.09704289526343346,0.9663,0.3614241334363818,0.8943
9,0.10122647129297256,0.9654,0.3967652487516403,0.8885
10,0.08721757931113243,0.9692,0.35747262756824494,0.8932
11,0.09355146964527666,0.9683,0.3793688457608223,0.8926
12,0.09471835727393627,0.9661,0.4071739866733551,0.8762
13,0.0770743653833866,0.9752,0.31093588142991063,0.9028
14,0.07449533458054065,0.974,0.3526411650419235,0.9031
15,0.07914093208014965,0.973,0.3510790353536606,0.9014
16,0.059844669340550896,0.9801,0.40362850165367126,0.8902
17,0.07994166157394647,0.9727,0.380924413728714,0.8897
18,0.05852476201057434,0.9805,0.45825631992816923,0.8801
19,0.07390366146564484,0.9761,0.431249031162262,0.8882
20,0.07366472238600254,0.9748,0.3614976812839508,0.8979
